,f1,f2,cor
225,android.permission.ACCESS_NOTIFICATION_POLICY,android.hardware.screen.portrait,0.0
226,android.permission.BIND_APPWIDGET,android.permission.BIND_CONDITION_PROVIDER_SERVICE,0.0
227,android.permission.BIND_APPWIDGET,android.permission.SET_WALLPAPER_COMPONENT,0.0
228,android.permission.ACCESS_MOCK_LOCATION,android.permission.NFC,0.0
229,android.permission.BIND_APPWIDGET,android.permission.INSTALL_DYNAMIC_SYSTEM,0.0
230,android.permission.BIND_APPWIDGET,android.permission.BLUETOOTH_PRIVILEGED,0.0
231,android.permission.BIND_APPWIDGET,android.permission.READ_PRIVILEGED_PHONE_STATE,0.0
232,android.permission.BIND_APPWIDGET,android.permission.USE_FULL_SCREEN_INTENT,0.0
233,android.permission.BIND_APPWIDGET,com.google.android.apps.wallpaper.NOTIFY_ROTATING_WALLPAPER_CHANGED,0.0
234,android.permission.BIND_APPWIDGET,android.permission.SET_DISPLAY_OFFSET,0.0
235,android.permission.BIND_APPWIDGET,android.permission.CAPTURE_AUDIO_OUTPUT,0.0
236,android.permission.ACCESS_MOCK_LOCATION,android.permission.FOREGROUND_SERVICE,0.0
237,android.permission.ACCESS_ALL_DOWNLOADS,android.software.live_wallpaper,0.0
238,android.permission.ACCESS_ALL_DOWNLOADS,android.software.app_widgets,0.0
239,android.permission.ACCESS_MOCK_LOCATION,com.google.android.providers.gsf.permission.WRITE_GSERVICES,0.0
240,android.permission.ACCESS_ALL_DOWNLOADS,android.software.leanback,0.0
241,android.permission.ACCESS_ALL_DOWNLOADS,android.software.sip,0.0
242,android.permission.ACCESS_MOCK_LOCATION,com.google.android.apps.inputmethod.latin.permission.UPDATE_STICKER_INDEX,0.0
243,android.permission.ACCESS_ALL_DOWNLOADS,android.hardware.wifi.direct,0.0
244,android.permission.BIND_APPWIDGET,android.permission.PACKAGE_USAGE_STATS,0.0
245,android.permission.BIND_APPWIDGET,android.permission.MANAGE_OWN_CALLS,0.0
246,android.permission.BIND_APPWIDGET,android.permission.REQUEST_DELETE_PACKAGES,0.0
247,android.permission.BIND_APPWIDGET,com.android.chrome.TOS_ACKED,0.0
248,android.permission.ACCESS_NOTIFICATION_POLICY,android.hardware.telephony,0.0
249,android.permission.ACCESS_NOTIFICATION_POLICY,android.hardware.telephony.cdma,0.0
250,android.permission.ACCESS_NOTIFICATION_POLICY,android.hardware.telephony.gsm,0.0
251,android.permission.ACCESS_NOTIFICATION_POLICY,android.hardware.faketouch,0.0
252,android.permission.ACCESS_NOTIFICATION_POLICY,android.hardware.faketouch.multitouch.distinct,0.0
253,android.permission.ACCESS_NOTIFICATION_POLICY,android.hardware.faketouch.multitouch.jazzhand,0.0
254,android.permission.ACCESS_NOTIFICATION_POLICY,android.hardware.touchscreen,0.0
255,android.permission.ACCESS_NOTIFICATION_POLICY,android.hardware.touchscreen.multitouch,0.0
256,android.permission.ACCESS_NOTIFICATION_POLICY,android.hardware.touchscreen.multitouch.distinct,0.0
257,android.permission.ACCESS_NOTIFICATION_POLICY,android.hardware.touchscreen.multitouch.jazzhand,0.0
258,android.permission.ACCESS_NOTIFICATION_POLICY,android.hardware.usb.accessory,0.0
259,android.permission.ACCESS_NOTIFICATION_POLICY,android.hardware.usb.host,0.0
260,android.permission.ACCESS_NOTIFICATION_POLICY,android.hardware.vulkan.version,0.0
261,android.permission.ACCESS_NOTIFICATION_POLICY,android.hardware.wifi,0.0
262,android.permission.ACCESS_NOTIFICATION_POLICY,android.hardware.wifi.direct,0.0
263,android.permission.ACCESS_NOTIFICATION_POLICY,android.software.sip,0.0
264,android.permission.ACCESS_NOTIFICATION_POLICY,android.software.leanback,0.0
265,android.permission.ACCESS_NOTIFICATION_POLICY,android.software.app_widgets,0.0
266,android.permission.ACCESS_NOTIFICATION_POLICY,android.software.live_wallpaper,0.0
267,android.permission.ACCESS_NOTIFICATION_POLICY,android.hardware.screen.landscape,0.0
268,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.SET_WALLPAPER_HINTS,0.0
269,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.FACTORY_TEST,0.0
270,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.GLOBAL_SEARCH,0.0
271,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS,0.0
272,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.READ_PROFILE,0.0
273,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.BLUETOOTH,0.0
274,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.BROADCAST_WAP_PUSH,0.0
275,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.CHANGE_WIFI_MULTICAST_STATE,0.0
276,android.permission.ACCESS_NOTIFICATION_POLICY,com.android.alarm.permission.SET_ALARM,0.0
277,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.CAPTURE_AUDIO_HOTWORD,0.0
278,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.WRITE_MEDIA_STORAGE,0.0
279,android.permission.ACCESS_NOTIFICATION_POLICY,com.android.launcher.permission.UNINSTALL_SHORTCUT,0.0
280,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.GET_TASKS,0.0
281,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.ACCESS_SURFACE_FLINGER,0.0
282,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.AUTHENTICATE_ACCOUNTS,0.0
283,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.INTERNET,0.0
284,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.BIND_RESOLVER_RANKER_SERVICE,0.0
285,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.TV_INPUT_HARDWARE,0.0
286,android.permission.ACCESS_NOTIFICATION_POLICY,com.android.vending.INTENT_VENDING_ONLY,0.0
287,android.permission.ACCESS_NOTIFICATION_POLICY,com.google.android.googleapps.permission.GOOGLE_AUTH.mail,0.0
288,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.TRANSMIT_IR,0.0
289,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.BROADCAST_NETWORK_PRIVILEGED,0.0
290,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.EXPAND_STATUS_BAR,0.0
291,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.DEVICE_POWER,0.0
292,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.SUBSCRIBED_FEEDS_READ,0.0
293,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.CLEAR_APP_USER_DATA,0.0
